image_id,Original_question,q_type,Mod_qns_Gemini,image_url,Modified_question,Mod_qns_textinput,GT_answer
COCO_train2014_000000228794,Is this a park?,Is this,Is this a botanical park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228794.jpg,Is this a <span style='color:red'>botanical</span> park?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> park?,yes
COCO_train2014_000000081714,Does the man appear dirty?,Does,Does the man in a suit appear dirty?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000081714.jpg,Does the man <span style='color:red'>in a suit</span> appear dirty?,Does the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> appear dirty?,no
COCO_train2014_000000023280,Are they drinking wine?,Are,Are they drinking red wine?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000023280.jpg,Are they drinking <span style='color:red'>red</span> wine?,Are they drinking <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> wine?,no
COCO_train2014_000000267217,Does this meal have any protein?,Does,Does this meal on the plate have any protein?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000267217.jpg,Does this meal <span style='color:red'>on the plate</span> have any protein?,Does this meal <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have any protein?,yes
COCO_train2014_000000564118,Is this room being maintained?,Is this,Is this dirty room being maintained?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000564118.jpg,Is this <span style='color:red'>dirty</span> room being maintained?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> room being maintained?,no
COCO_train2014_000000084356,Is there a river in the photo?,Is there,Is there a large river in the photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000084356.jpg,Is there a <span style='color:red'>large</span> river in the photo?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> river in the photo?,yes
COCO_train2014_000000207738,Is there an apple in this picture?,Is there,Is there a red apple in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000207738.jpg,Is there <span style='color:red'>a red</span> apple in this picture?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> apple in this picture?,yes
COCO_train2014_000000249348,Is there a plant present?,Is there,Is there a potted plant present?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000249348.jpg,Is there a <span style='color:red'>potted</span> plant present?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> plant present?,yes
COCO_train2014_000000075496,Is the bird real or stuffed?,Is the,Is the flying bird real or stuffed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000075496.jpg,Is the <span style='color:red'>flying</span> bird real or stuffed?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> bird real or stuffed?,real
COCO_train2014_000000259030,Are the animals grazing?,Are,Are the brown animals grazing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000259030.jpg,Are the <span style='color:red'>brown</span> animals grazing?,Are the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> animals grazing?,yes
COCO_train2014_000000272578,Is this baseball player swinging a bat?,Is this,Is this baseball player in the air swinging a bat?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000272578.jpg,Is this baseball player <span style='color:red'>in the air</span> swinging a bat?,Is this baseball player <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> swinging a bat?,no
COCO_train2014_000000522192,Is this shot in color?,Is this,Is this nighttime shot in color?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000522192.jpg,Is this <span style='color:red'>nighttime</span> shot in color?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> shot in color?,yes
COCO_train2014_000000205461,Is there a pear in this picture?,Is there,Is there a red pear in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000205461.jpg,Is there a <span style='color:red'>red</span> pear in this picture?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> pear in this picture?,yes
COCO_train2014_000000000584,Are there green onions in this dish?,Are,Are there chopped green onions in this dish?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000000584.jpg,Are there <span style='color:red'>chopped</span> green onions in this dish?,Are there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> green onions in this dish?,yes
COCO_train2014_000000255804,Is this a selfie?,Is this,Is this a selfie taken in a bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000255804.jpg,Is this a selfie <span style='color:red'>taken in a bathroom?</span>,Is this a selfie <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000308145,Does the man have hair?,Does,Does the bald man have hair?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000308145.jpg,Does the <span style='color:red'>bald</span> man have hair?,Does the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> man have hair?,no
COCO_train2014_000000305647,Is the horse cold?,Is the,Is the black horse cold?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000305647.jpg,Is the <span style='color:red'>black</span> horse cold?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> horse cold?,yes
COCO_train2014_000000542718,Is the woman cold?,Is the,Is the woman in the background cold?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000542718.jpg,Is the woman <span style='color:red'>in the background</span> cold?,Is the woman <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> cold?,yes
COCO_train2014_000000473103,Is the man looking at the sky?,Is the,Is the man wearing a white shirt looking at the sky?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000473103.jpg,Is the man <span style='color:red'>wearing a white shirt</span> looking at the sky?,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> looking at the sky?,no
COCO_train2014_000000175608,Is the plane landing?,Is the,Is the Delta plane landing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000175608.jpg,Is the <span style='color:red'>Delta</span> plane landing?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> plane landing?,yes
COCO_train2014_000000056886,Is there a teddy bear?,Is there,Is there a fluffy teddy bear?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000056886.jpg,Is there a <span style='color:red'>fluffy</span> teddy bear?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> teddy bear?,no
COCO_train2014_000000243127,Does the pizza slice have thick crust?,Does,Does the pizza slice on the right have thick crust?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000243127.jpg,Does the pizza slice <span style='color:red'>on the right</span> have thick crust?,Does the pizza slice <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have thick crust?,yes
COCO_train2014_000000469405,Is the computer turned on?,Is the,Is the computer on the couch turned on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000469405.jpg,Is the <span style='color:red'>closed</span> computer turned on?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> computer turned on?,no
COCO_train2014_000000524788,Are the trees in the scene largely leafless?,Are,Are the snow-covered trees in the scene largely leafless?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000524788.jpg,Are the <span style='color:red'>snow-covered</span> trees in the scene largely leafless?,Are the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> trees in the scene largely leafless?,yes
COCO_train2014_000000150495,Does this appear to be a new or old building?,Does,Does this appear to be a new or old building in the image?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000150495.jpg,Does this appear to be a new or old building <span style='color:red'>in the image?</span>,Does this appear to be a new or old building <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,old
COCO_train2014_000000460987,Are there any vents?,Are,Are there any white vents?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000460987.jpg,Are there any <span style='color:red'>white</span> vents?,Are there any <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> vents?,yes
COCO_train2014_000000466828,Is there wildlife?,Is there,Is there sleeping wildlife?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000466828.jpg,Is there <span style='color:red'>sleeping</span> wildlife?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> wildlife?,no
COCO_train2014_000000166386,Is this a professional baseball team?,Is this,Is this a professional baseball team in a daytime game?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000166386.jpg,Is this a professional baseball team <span style='color:red'>in a nighttime game?</span>,Is this a professional baseball team <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000496696,Is there a person guiding these animals?,Is there,Is there a person guiding these animals on the road?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000496696.jpg,Is there a person guiding these animals <span style='color:red'>on the road?</span>,Is there a person guiding these animals <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000276871,Is the dog sleeping?,Is the,Is the German Shepherd dog sleeping?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000276871.jpg,Is the <span style='color:red'>German Shepherd</span> sleeping?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sleeping?,yes
COCO_train2014_000000395214,Is this person going to fall?,Is this,Is this person wearing a white shirt going to fall?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000395214.jpg,Is this person <span style='color:red'>wearing a red shirt</span> going to fall?,Is this person <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> going to fall?,yes
COCO_train2014_000000531646,Is the bed empty?,Is the,Is the metal bed empty?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000531646.jpg,Is the <span style='color:red'>metal</span> bed empty?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> bed empty?,no
COCO_train2014_000000478067,Is the horse harnessed?,Is the,Is the gray horse harnessed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000478067.jpg,Is the <span style='color:red'>gray</span> horse harnessed?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> horse harnessed?,yes
COCO_train2014_000000343610,Is this inside of a circus tent?,Is this,Is this brown elephant inside of a circus tent?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000343610.jpg,Is this <span style='color:red'>brown elephant</span> inside of a circus tent?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> inside of a circus tent?,no
COCO_train2014_000000321097,Are the suitcases upstairs or downstairs?,Are,Are the black suitcases upstairs or downstairs?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000321097.jpg,Are the <span style='color:red'>black</span> suitcases upstairs or downstairs?,Are the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> suitcases upstairs or downstairs?,downstairs
COCO_train2014_000000150920,Is there a vase in the bathroom?,Is there,Is there a blue vase in the bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000150920.jpg,Is there a <span style='color:red'>blue</span> vase in the bathroom?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> vase in the bathroom?,no
COCO_train2014_000000523749,Is there a live mouse in the picture?,Is there,Is there a live mouse on the desk in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000523749.jpg,Is there a live mouse <span style='color:red'>on the desk</span> in the picture?,Is there a live mouse <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> in the picture?,no
COCO_train2014_000000165636,Does this sandwich look tempting?,Does,Does this large sandwich look tempting?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000165636.jpg,Does this <span style='color:red'>large</span> sandwich look tempting?,Does this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sandwich look tempting?,yes
COCO_train2014_000000456719,Are they fully cooked?,Are,Are the hot dog croissant fully cooked?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000456719.jpg,Are <span style='color:red'>the bottom-most pigs in a blanket</span> fully cooked?,Are <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> fully cooked?,yes
COCO_train2014_000000460408,Is this an adult's lunch?,Is this,Is this a food in pink boxes an adult’s lunch?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000460408.jpg,Is this <span style='color:red'>a child's</span> lunch?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> lunch?,no
COCO_train2014_000000556112,Does the horse look happy?,Does,Does the brown horse look happy?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000556112.jpg,Does the <span style='color:red'>brown</span> horse look happy?,Does the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> horse look happy?,yes
COCO_train2014_000000084448,Are the cat's eyes open?,Are,Are the sleeping cat's eyes open?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000084448.jpg,Are the <span style='color:red'>sleeping cat's</span> eyes open?,Are the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> eyes open?,no
COCO_train2014_000000445607,Are the people bundled up?,Are,Are the people on snow bundled up?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000445607.jpg,Are the people <span style='color:red'>in green</span> bundled up?,Are the people <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> bundled up?,no
COCO_train2014_000000326734,Are there watermelon slices?,Are,Are there red watermelon slices?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000326734.jpg,Are there <span style='color:red'>red</span> watermelon slices?,Are there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> watermelon slices?,no
COCO_train2014_000000464766,Are both living creatures shown from the same species?,Are,Are both sleeping living creatures shown from the same species?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000464766.jpg,Are both <span style='color:red'>sleeping</span> living creatures shown from the same species?,Are both <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> living creatures shown from the same species?,yes
COCO_train2014_000000218145,Does the man have sideburns?,Does,Does the man in the hat have sideburns?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000218145.jpg,Does the man <span style='color:red'>in the hat</span> have sideburns?,Does the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have sideburns?,yes
COCO_train2014_000000200560,Do these planes look like passenger airliners?,Do,Do these planes in sky look like passenger airliners?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000200560.jpg,Do these <span style='color:red'>military</span> planes look like passenger airliners?,Do these <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> planes look like passenger airliners?,yes
COCO_train2014_000000025142,Is this an Arab country?,Is this,Is this a country in the Middle East?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025142.jpg,Is this a country <span style='color:red'>in the Middle East?</span>,Is this a country <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000151053,Does the bear appear to be reading?,Does,Does the stuffed bear appear to be reading?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000151053.jpg,Does the <span style='color:red'>stuffed</span> bear appear to be reading?,Does the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> bear appear to be reading?,no
COCO_train2014_000000158647,Is this controller designed to be held vertically or horizontally?,Is this,Is this white controller designed to be held vertically or horizontally?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000158647.jpg,Is this <span style='color:red'>white</span> controller designed to be held vertically or horizontally?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> controller designed to be held vertically or horizontally?,horizontally
COCO_train2014_000000089835,Do you see any living animals in this photo?,Do,Do you see any brown living animals in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000089835.jpg,Do you see any <span style='color:red'>brown</span> animals in this photo?,Do you see any <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> animals in this photo?,yes
COCO_train2014_000000373316,Is this a burger place?,Is this,Is this a hot dog and burger place?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000373316.jpg,Is this a <span style='color:red'>chili</span> burger place?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> burger place?,no
COCO_train2014_000000426845,Do the two men have on skates?,Do,Do the two men on road have on skates?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426845.jpg,Do the two men <span style='color:red'>on skateboards</span> have on skates?,Do the two men <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have on skates?,no
COCO_train2014_000000565047,Is the serving dish plastic?,Is the,Is the serving dish on the table plastic?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000565047.jpg,Is the serving dish <span style='color:red'>on the table</span> plastic?,Is the serving dish <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> plastic?,no
COCO_train2014_000000236288,Is the man smiling?,Is the,Is the man holding a tennis racket smiling?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000236288.jpg,Is the man <span style='color:red'>holding a tennis racket</span> smiling?,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> smiling?,no
COCO_train2014_000000087767,Is there traffic?,Is there,Is there any traffic in the city center?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000087767.jpg,Is there any traffic <span style='color:red'>in the city center?</span>,Is there any traffic <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000105021,Is the man in the picture about to kick the ball?,Is the,Is the angry man in the picture about to kick the ball?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000105021.jpg,Is the <span style='color:red'>happy</span> man in the picture about to kick the ball?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> man in the picture about to kick the ball?,no
