image_id,Original_question,q_type,Mod_qns_Llava,image_url,Modified_question,Mod_qns_textinput,GT_answer
COCO_train2014_000000158647,Is this controller designed to be held vertically or horizontally?,Is this,Is this controller designed to be held vertically or horizontally in a game setting?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000158647.jpg,Is this controller designed to be held vertically or horizontally <span style='color:red'>in a game setting?</span>,Is this controller designed to be held vertically or horizontally <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,horizontally
COCO_train2014_000000373316,Is this a burger place?,Is this,Is this a burger place with two hot dogs on plates?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000373316.jpg,Is this a burger place <span style='color:red'>with two hot dogs on plates?</span>,Is this a burger place <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000565047,Is the serving dish plastic?,Is the,Is the serving dish on the table?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000565047.jpg,Is the serving dish <span style='color:red'>on the table?</span>,Is the serving dish <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000236288,Is the man smiling?,Is the,Is the man with the racket smiling?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000236288.jpg,Is the man <span style='color:red'>with the racket</span> smiling?,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> smiling?,no
COCO_train2014_000000087767,Is there traffic?,Is there,Is there traffic in the distance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000087767.jpg,Is there traffic <span style='color:red'>in the distance?</span>,Is there traffic <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000105021,Is the man in the picture about to kick the ball?,Is the,Is the man in the picture about to kick a red ball?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000105021.jpg,Is the man in the picture about to kick <span style='color:red'>a red</span> ball?,Is the man in the picture about to kick <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> ball?,no
COCO_train2014_000000155302,Is this a new bike?,Is this,Is this a new yellow bike?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000155302.jpg,Is this a new <span style='color:red'>yellow</span> bike?,Is this a new <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> bike?,no
COCO_train2014_000000280508,Is this a well-organized refrigerator?,Is this,Is this a well-organized and visually appealing refrigerator?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000280508.jpg,Is this a <span style='color:red'>well-organized and visually appealing</span> refrigerator?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> refrigerator?,yes
COCO_train2014_000000270035,Is the building made of brick?,Is the,"Is the building made of large, red brick?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000270035.jpg,"Is the building made of <span style='color:red'>large, red</span> brick?",Is the building made of <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> brick?,yes
COCO_train2014_000000401007,Is this Digiorno?,Is this,Is this a large Digiorno pizza?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000401007.jpg,Is this <span style='color:red'>a large</span> Digiorno pizza?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> Digiorno Pizza?,no
COCO_train2014_000000482328,Is this the Eiffel Tower?,Is this,Is this a clock tower the Eiffel Tower?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000482328.jpg,Is this <span style='color:red'>clock tower</span> the Eiffel tower?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the Eiffel tower?,no
COCO_train2014_000000287927,Is the toilet lid closed?,Is the,Is the toilet lid closed next to the sign on the wall?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000287927.jpg,Is the toilet lid closed <span style='color:red'>next to the sign on the wall?</span>,Is the toilet lid closed <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000274195,Is there rust?,Is there,Is there rust in the bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000274195.jpg,Is there rust <span style='color:red'>in the bathroom?</span>,Is there rust <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000354994,Is this a good place to light up?,Is this,Is this a good place to light up at the airport terminal?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000354994.jpg,Is this a good place to light up <span style='color:red'>at the airport terminal?</span>,Is this a good place to light up <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000538653,Is the bike moving?,Is the,Is the motorcycle moving quickly?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000538653.jpg,Is the motorcycle moving <span style='color:red'>quickly?</span>,Is the motorcycle moving <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000010799,Is the person in this picture a boy or girl?,Is the,Is the person in this picture a boy or girl who is in focus?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000010799.jpg,Is the person in this picture a boy or girl <span style='color:red'>who is in focus?</span>,Is the person in this picture a boy or girl <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,girl
COCO_train2014_000000426343,Is the woman painting the sign?,Is the,Is the woman painting a sign in front of others?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426343.jpg,Is the woman painting a sign <span style='color:red'>in front of a screen?</span>,Is the woman painting a sign <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000194108,Is there a bus in this picture?,Is there,Is there a bus in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000194108.jpg,Is there a bus in this picture?,Is there a bus in this picture?,no
COCO_train2014_000000123766,Is the woman wearing jewelry?,Is the,Is the woman wearing any jewelry while riding her motorcycle?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000123766.jpg,Is the woman wearing jewelry <span style='color:red'>while riding her motorcycle?</span>,Is the woman wearing jewelry <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000494089,Is there a man in a hat sitting on the park bench?,Is there,Is there a man in a hat sitting on the park bench by the lake?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000494089.jpg,Is there a man in a hat sitting on the park bench <span style='color:red'>by the lake?</span>,Is there a man in a hat sitting on the park bench <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000045524,Is the person running on foot?,Is the,Is the person running on foot during a game in the park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000045524.jpg,Is the person running on foot <span style='color:red'>during a game in the park?</span>,Is the person running on foot <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000110928,Is this dog barking?,Is this,Is this brown and white dog sitting in front of the window barking?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000110928.jpg,Is this <span style='color:red'>brown and white</span> dog sitting in front of the window barking?</span>,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> dog sitting in front of the window barking?,no
COCO_train2014_000000113418,Is the dog awake?,Is the,Is the dog lying down in front of the desk awake?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000113418.jpg,Is the dog style='color:red'>lying down in front of the desk</span> awake?,Is the dog <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> awake?,yes
COCO_train2014_000000197600,Is there a mouse?,Is there,Is there a keyboard?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000197600.jpg,Is there a <span style='color:red'>keyboard?</span>,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000466191,Is the cat brown color?,Is the,Is the cat a large brown color?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000466191.jpg,Is the cat <span style='color:red'>a large</span> brown color?,Is the cat <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> brown color?,no
COCO_train2014_000000191731,Is the sky clear?,Is the,Is the sky clear?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000191731.jpg,Is the sky clear?,Is the sky clear?,no
COCO_train2014_000000429959,Is this a computer room?,Is this,Is this a computer room in the living room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000429959.jpg,Is this a computer room <span style='color:red'>in the living room?</span>,Is this a computer room <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000233292,Is the man taking the picture balding?,Is the,"Is the man taking a picture of the motorcyclist riding on the track, balding?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000233292.jpg,"Is the man taking a picture of the <span style='color:red'>motorcyclist riding on the track,</span> balding?",Is the man taking the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> balding?,yes
COCO_train2014_000000231178,Is the light on?,Is the,Is the light on top of a pole?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231178.jpg,Is the light on <span style='color:red'>top of a pole?</span>,Is the light on <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000329748,Is this a restaurant?,Is this,Is this a restaurant located in a residential setting?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000329748.jpg,Is this a restaurant <span style='color:red'>located in a residential setting?</span>,Is this a restaurant <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000325693,Is the person wearing a watch?,Is the,Is the person wearing a wristwatch?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000325693.jpg,Is the person wearing a <span style='color:red'>wristwatch?</span>,Is the person wearing a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000482452,Is the cat asleep?,Is the,Is the cat sleeping on top of the blanket?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000482452.jpg,Is the cat <span style='color:red'>sleeping on top of the blanket?</span>,Is the cat <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000498173,Is the man stepping on the line?,Is the,Is the man stepping over the baseline?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000498173.jpg,Is the man stepping <span style='color:red'>over</span> the baseline?,Is the man stepping <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the baseline?,yes
COCO_train2014_000000067726,Is the plane above cloud level?,Is the,Is the plane flying at a high altitude?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000067726.jpg,Is the plane <span style='color:red'>flying at a high altitude?</span>,Is the plane <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000306950,Is this inside a fast food restaurant?,Is this,"Is this inside a fast food restaurant, near a counter?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000306950.jpg,"Is this inside a fast food restaurant, <span style='color:red'>near a counter?</span>","Is this inside a fast food restaurant, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000551284,Is there a hand?,Is there,Is there a hand in front of the blender?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000551284.jpg,Is there a hand <span style='color:red'>in front of the blender?</span>,Is there a hand <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000310573,Is this boat a pontoon?,Is this,Is this white speedboat a pontoon?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000310573.jpg,Is this <span style='color:red'>white speedboat</span> a pontoon?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> a pontoon?,no
COCO_train2014_000000467334,Is this room well lit?,Is this,Is this room dimly lit?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000467334.jpg,Is this room <span style='color:red'>dimly</span> lit?,Is this room <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> lit?,no
COCO_train2014_000000292238,Is there an avalanche taking place?,Is there,Is there an avalanche taking place in this ski resort?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000292238.jpg,Is there an avalanche taking place <span style='color:red'>in this ski resort?</span>,Is there an avalanche taking place <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000074739,Is there a protest going on?,Is there,Is there a protest going on in front of the bridge?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000074739.jpg,Is there a protest going on <span style='color:red'>in front of the bridge?</span>,Is there a protest going on <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000372615,Is the mirror on the driver's side?,Is the,"Is the mirror on the driver's side, and what color is the car reflected in it?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000372615.jpg,Is the <span style='color:red'> reflected </span>mirror on the driver's side?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> mirror on the driver’s side?,no
COCO_train2014_000000003782,Is the pair of scissors sharp?,Is the,Is the pair of scissors visible?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000003782.jpg,Is the pair of scissors <span style='color:red'>visible?</span>,Is the pair of scissors <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
