image_id,Original_question,q_type,Mod_qns_GPT4o,image_url
COCO_train2014_000000308145,Does the man have hair?,Does,Does the bald man have hair?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000308145.jpg
COCO_train2014_000000305647,Is the horse cold?,Is the,Is the black horse cold?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000305647.jpg
COCO_train2014_000000542718,Is the woman cold?,Is the,Is the woman on the right cold?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000542718.jpg
COCO_train2014_000000473103,Is the man looking at the sky?,Is the,Is the man with blue jeans looking at the sky?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000473103.jpg
COCO_train2014_000000175608,Is the plane landing?,Is the,Is the large plane landing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000175608.jpg
COCO_train2014_000000056886,Is there a teddy bear?,Is there,Is there a fluffy teddy bear?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000056886.jpg
COCO_train2014_000000243127,Does the pizza slice have thick crust?,Does,Does the large pizza slice have thick crust?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000243127.jpg
COCO_train2014_000000469405,Is the computer turned on?,Is the,Is the computer on the couch turned on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000469405.jpg
COCO_train2014_000000524788,Are the trees in the scene largely leafless?,Are,Are the tall trees in the scene largely leafless?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000524788.jpg
COCO_train2014_000000150495,Does this appear to be a new or old building?,Does,Does this appear to be a new or old wooden building?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000150495.jpg
COCO_train2014_000000460987,Are there any vents?,Are,Are there any vents on the wall?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000460987.jpg
COCO_train2014_000000466828,Is there wildlife?,Is there,Is there visible wildlife?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000466828.jpg
COCO_train2014_000000166386,Is this a professional baseball team?,Is this,Is this a professional baseball team on the right?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000166386.jpg
COCO_train2014_000000496696,Is there a person guiding these animals?,Is there,Is there a person guiding these animals on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000496696.jpg
COCO_train2014_000000276871,Is the dog sleeping?,Is the,Is the large dog sleeping?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000276871.jpg
COCO_train2014_000000395214,Is this person going to fall?,Is this,Is this tall person going to fall?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000395214.jpg
COCO_train2014_000000531646,Is the bed empty?,Is the,Is the messy bed empty?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000531646.jpg
COCO_train2014_000000478067,Is the horse harnessed?,Is the,Is the gray horse harnessed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000478067.jpg
COCO_train2014_000000343610,Is this inside of a circus tent?,Is this,Is this inside of a large circus tent?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000343610.jpg
COCO_train2014_000000321097,Are the suitcases upstairs or downstairs?,Are,Are the suitcases next to the chair upstairs or downstairs?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000321097.jpg
COCO_train2014_000000150920,Is there a vase in the bathroom?,Is there,Is there a vase on the left in the bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000150920.jpg
COCO_train2014_000000523749,Is there a live mouse in the picture?,Is there,Is there a live mouse on the right in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000523749.jpg
COCO_train2014_000000165636,Does this sandwich look tempting?,Does,Does this large sandwich look tempting?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000165636.jpg
COCO_train2014_000000456719,Are they fully cooked?,Are,Are the pastries in the front fully cooked?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000456719.jpg
COCO_train2014_000000460408,Is this an adult's lunch?,Is this,Is this an adult's colorful lunch?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000460408.jpg
COCO_train2014_000000556112,Does the horse look happy?,Does,Does the spotted horse look happy?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000556112.jpg
COCO_train2014_000000084448,Are the cat's eyes open?,Are,Are the gray cat's eyes open?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000084448.jpg
COCO_train2014_000000445607,Are the people bundled up?,Are,Are the people on the right bundled up?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000445607.jpg
COCO_train2014_000000326734,Are there watermelon slices?,Are,Are there watermelon slices on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000326734.jpg
COCO_train2014_000000464766,Are both living creatures shown from the same species?,Are,Are both living creatures on the bed shown from the same species?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000464766.jpg
COCO_train2014_000000218145,Does the man have sideburns?,Does,Does the man with the hat have sideburns?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000218145.jpg
COCO_train2014_000000200560,Do these planes look like passenger airliners?,Do,Do these large planes look like passenger airliners?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000200560.jpg
COCO_train2014_000000025142,Is this an Arab country?,Is this,Is this an Arab country with large billboards?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025142.jpg
COCO_train2014_000000151053,Does the bear appear to be reading?,Does,Does the fluffy bear appear to be reading?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000151053.jpg
COCO_train2014_000000158647,Is this controller designed to be held vertically or horizontally?,Is this,Is this white controller designed to be held vertically or horizontally?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000158647.jpg
COCO_train2014_000000089835,Do you see any living animals in this photo?,Do,Do you see any small living animals in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000089835.jpg
COCO_train2014_000000373316,Is this a burger place?,Is this,Is this a burger place with a green sign?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000373316.jpg
COCO_train2014_000000426845,Do the two men have on skates?,Do,Do the two men in front of the store have on skates?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426845.jpg
COCO_train2014_000000565047,Is the serving dish plastic?,Is the,Is the round serving dish plastic?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000565047.jpg
COCO_train2014_000000236288,Is the man smiling?,Is the,Is the man with the tennis racket smiling?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000236288.jpg
COCO_train2014_000000087767,Is there traffic?,Is there,Is there traffic on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000087767.jpg
COCO_train2014_000000105021,Is the man in the picture about to kick the ball?,Is the,Is the man in the picture about to kick the striped ball?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000105021.jpg
COCO_train2014_000000155302,Is this a new bike?,Is this,Is this a yellow bike?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000155302.jpg
COCO_train2014_000000021169,Are the scissors long?,Are,Are the purple scissors long?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000021169.jpg
COCO_train2014_000000280508,Is this a well-organized refrigerator?,Is this,Is this a well-organized refrigerator on the right?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000280508.jpg
COCO_train2014_000000090392,Is there a sink in the room?,Is there,Is there a sink in the corner of the room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000090392.jpg
COCO_train2014_000000270035,Is the building made of brick?,Is the,Is the building on the right made of brick?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000270035.jpg
COCO_train2014_000000539716,Are there any cars blocking the fire hydrant?,Are,Are there any cars blocking the red fire hydrant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000539716.jpg
COCO_train2014_000000401007,Is this Digiorno?,Is this,Is this burnt Digiorno?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000401007.jpg
COCO_train2014_000000070788,Is the person wearing sunglasses?,Is the,Is the person on the right wearing sunglasses?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000070788.jpg
COCO_train2014_000000482328,Is this the Eiffel Tower?,Is this,Is this the tall Eiffel Tower?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000482328.jpg
COCO_train2014_000000287927,Is the toilet lid closed?,Is the,Is the toilet lid on the left closed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000287927.jpg
COCO_train2014_000000277203,Is the plane in the sky?,Is the,Is the plane with open landing gear in the sky?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000277203.jpg
COCO_train2014_000000274195,Is there rust?,Is there,Is there rust on the window?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000274195.jpg
COCO_train2014_000000354994,Is this a good place to light up?,Is this,Is this a good place to light up near the airplane?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000354994.jpg
COCO_train2014_000000075427,Does the light signal go or stop?,Does,Does the bright light signal go or stop?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000075427.jpg
COCO_train2014_000000538653,Is the bike moving?,Is the,Is the blue bike moving?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000538653.jpg
COCO_train2014_000000010799,Is the person in this picture a boy or girl?,Is the,Is the person with the blurred face in this picture a boy or girl?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000010799.jpg
COCO_train2014_000000013198,Are there any skyscrapers?,Are,Are there any tall skyscrapers?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000013198.jpg
COCO_train2014_000000426343,Is the woman painting the sign?,Is the,Is the excited woman painting the sign?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426343.jpg
COCO_train2014_000000046813,Are the fruits ripe?,Are,Are the green fruits ripe?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000046813.jpg
COCO_train2014_000000036589,Is the baby sleeping?,Is the,Is the baby under the teddy bear sleeping?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000036589.jpg
COCO_train2014_000000194108,Is there a bus in this picture?,Is there,Is there a red bus in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000194108.jpg
COCO_train2014_000000123766,Is the woman wearing jewelry?,Is the,Is the woman with pink hair wearing jewelry?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000123766.jpg
COCO_train2014_000000494089,Is there a man in a hat sitting on the park bench?,Is there,Is there a man in a blue hat sitting on the park bench?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000494089.jpg
COCO_train2014_000000081188,Are they coming back from a surfing trip?,Are,Are they coming back from a long surfing trip?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000081188.jpg
COCO_train2014_000000045524,Is the person running on foot?,Is the,Is the tall person running on foot?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000045524.jpg
COCO_train2014_000000271870,Does there seem to be a designated area for the food trucks?,Does,Does there seem to be a designated area for the food trucks on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000271870.jpg
COCO_train2014_000000110928,Is this dog barking?,Is this,Is this happy dog barking?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000110928.jpg
COCO_train2014_000000113418,Is the dog awake?,Is the,Is the large dog awake?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000113418.jpg
COCO_train2014_000000197600,Is there a mouse?,Is there,Is there a mouse on the right?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000197600.jpg
COCO_train2014_000000466191,Is the cat brown color?,Is the,Is the cat in the corner brown color?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000466191.jpg
COCO_train2014_000000052928,Are there any females in this photo?,Are,Are there any females in this colorful photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000052928.jpg
COCO_train2014_000000191731,Is the sky clear?,Is the,Is the cloudy sky clear?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000191731.jpg
COCO_train2014_000000234162,Are the people leaning on another object?,Are,Are the people leaning on the small object?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000234162.jpg
COCO_train2014_000000429959,Is this a computer room?,Is this,Is this a large computer room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000429959.jpg
COCO_train2014_000000233292,Is the man taking the picture balding?,Is the,Is the man taking the picture on the right balding?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000233292.jpg
COCO_train2014_000000231178,Is the light on?,Is the,Is the bright light on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231178.jpg
COCO_train2014_000000321181,Are the trees green?,Are,Are the tall trees green?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000321181.jpg
COCO_train2014_000000329748,Is this a restaurant?,Is this,Is this a large restaurant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000329748.jpg
COCO_train2014_000000325693,Is the person wearing a watch?,Is the,Is the person wearing a black watch?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000325693.jpg
COCO_train2014_000000482452,Is the cat asleep?,Is the,Is the striped cat asleep?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000482452.jpg
COCO_train2014_000000498173,Is the man stepping on the line?,Is the,Is the man in the yellow shirt stepping on the line?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000498173.jpg
COCO_train2014_000000067726,Is the plane above cloud level?,Is the,Is the plane with curved wings above cloud level?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000067726.jpg
COCO_train2014_000000518932,Are there cameras in the picture?,Are,Are there large cameras in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000518932.jpg
COCO_train2014_000000306950,Is this inside a fast food restaurant?,Is this,Is this messy sandwich inside a fast food restaurant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000306950.jpg
COCO_train2014_000000551284,Is there a hand?,Is there,Is there a small hand?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000551284.jpg
COCO_train2014_000000335304,Are there any bright colors in here?,Are,Are there any bright colors on the left side in here?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000335304.jpg
COCO_train2014_000000158036,Is the photo clear?,Is the,Is the bright photo clear?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000158036.jpg
COCO_train2014_000000231078,Does the man have a beard?,Does,Does the shirtless man have a beard?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231078.jpg
COCO_train2014_000000310573,Is this boat a pontoon?,Is this,Is this large boat a pontoon?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000310573.jpg
COCO_train2014_000000467334,Is this room well lit?,Is this,Is this large room well lit?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000467334.jpg
COCO_train2014_000000292238,Is there an avalanche taking place?,Is there,Is there an avalanche taking place in the distance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000292238.jpg
COCO_train2014_000000074739,Is there a protest going on?,Is there,Is there a protest on the street going on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000074739.jpg
COCO_train2014_000000372615,Is the mirror on the driver's side?,Is the,Is the shiny mirror on the driver's side?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000372615.jpg
COCO_train2014_000000003782,Is the pair of scissors sharp?,Is the,Is the pair of scissors with black handles sharp?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000003782.jpg
COCO_train2014_000000518774,Is there snow on the ground?,Is there,Is there fresh snow on the ground?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000518774.jpg
COCO_train2014_000000281191,Is there wine glasses?,Is there,Is there wine glasses next to the clock?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000281191.jpg
COCO_train2014_000000427396,Is the girls wearing bangles?,Is the,Is the happy girls wearing bangles?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000427396.jpg
COCO_train2014_000000033891,Is the sign in English?,Is the,Is the large sign in English?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000033891.jpg
COCO_train2014_000000100486,Is this animal facing the camera?,Is this,Is this tall animal facing the camera?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000100486.jpg
COCO_train2014_000000294535,Does this bread look soft?,Does,Does this fresh bread look soft?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000294535.jpg
COCO_train2014_000000337325,Is this an I-phone?,Is this,Is this a black I-phone?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000337325.jpg
COCO_train2014_000000414046,Is the woman wearing something on her head?,Is the,Is the woman by the fence wearing something on her head?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000414046.jpg
COCO_train2014_000000164208,Is the window open?,Is the,Is the window on the right open?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000164208.jpg
COCO_train2014_000000444871,Are the animals in their natural habitat?,Are,Are the animals near the vehicle in their natural habitat?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000444871.jpg
COCO_train2014_000000359323,Does the elephant have a tusk?,Does,Does the large elephant have a tusk?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000359323.jpg
COCO_train2014_000000346472,Is there any city lights?,Is there,Is there any bright city lights?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000346472.jpg
COCO_train2014_000000427915,Are the surfers walking into the water?,Are,Are the surfers on the sand walking into the water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000427915.jpg
COCO_train2014_000000036816,Are any of the spectators sitting down?,Are,Are any of the distant spectators sitting down?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000036816.jpg
COCO_train2014_000000065894,Does it look like these boats will collide?,Does,Does it look like these colorful boats will collide?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000065894.jpg
COCO_train2014_000000122899,Are those baby giraffes?,Are,Are those tall baby giraffes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000122899.jpg
COCO_train2014_000000060055,Does the surfboard hate the water?,Does,Does the red surfboard hate the water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000060055.jpg
